id,prefix,LSSIN,SKU,marketplace_id,gl,gl_description,item_name,variance_type,variance,image,description,color_name,material_type,msrp,msrp_tax_amount,category_id,category_name,subcategory_id,subcategory_name,brand_id,brand_name,number_of_items,hts_code,parent_lssin,is_base_product,size,unit_of_measurement,country_of_origin,care_instructions,is_vintage,is_pre_order
538,LS,LS538,,1,1,gl_dining,Herbariae Dessert Plate,Color,Yellow,https://cdn.shopify.com/s/files/1/0508/0861/9187/products/ScreenShot2022-09-12at11.27.36AM.png?v=1663709044,,Yellow,Porcelain,1352,1135.68,1,dinnerware,4,dessert_plates,10,Vista Alegre,1,,,,23,cm,Portugal,Microwave and dishwasher safe,,
539,LS,LS539,,1,1,gl_dining,Herbariae Dessert Plate,Color,Seafoam,https://cdn.shopify.com/s/files/1/0508/0861/9187/products/ScreenShot2022-09-12at11.27.02AM.png?v=1663709044,,Seafoam,Porcelain,1352,1135.68,1,dinnerware,4,dessert_plates,10,Vista Alegre,1,,,,23,cm,Portugal,Microwave and dishwasher safe,,
540,LS,LS540,,1,1,gl_dining,Herbariae Dessert Plate,Color,Peacock,https://cdn.shopify.com/s/files/1/0508/0861/9187/products/ScreenShot2022-09-12at11.26.43AM.png?v=1663709044,,Peacock Blue,Porcelain,1352,1135.68,1,dinnerware,4,dessert_plates,10,Vista Alegre,1,,,,23,cm,Portugal,Microwave and dishwasher safe,,
541,LS,LS541,,1,1,gl_dining,Geranium  Dessert Plate,Title,Default Title,https://cdn.shopify.com/s/files/1/0508/0861/9187/products/ScreenShot2022-09-20at4.02.11PM.png?v=1663707757,,White,Ceramic,539,452.76,1,dinnerware,4,dessert_plates,6,Bordallo Pinheiro,1,,,,22,cm,Portugal,Microwave and dishwasher safe (moderate use),,
542,LS,LS542,,1,1,gl_dining,Cabbage Dessert Plate,Color,White,https://cdn.shopify.com/s/files/1/0508/0861/9187/products/ScreenShot2022-09-20at4.00.37PM.png?v=1663707667,,White,Ceramic,505,424.2,1,dinnerware,4,dessert_plates,6,Bordallo Pinheiro,1,,,,19,cm,Portugal,Microwave and dishwasher safe (moderate use),,
543,LS,LS543,,1,1,gl_dining,Utopia Dessert Plate,Title,Default Title,https://cdn.shopify.com/s/files/1/0508/0861/9187/products/ScreenShot2022-09-20at3.54.02PM.png?v=1663707270,,White,Porcelain,505,424.2,1,dinnerware,4,dessert_plates,10,Vista Alegre,1,,,,23,cm,Portugal,Microwave and dishwasher safe,,
544,LS,LS544,,1,1,gl_dining,Blue Chintz Soup Plate,Title,Default Title,https://cdn.shopify.com/s/files/1/0508/0861/9187/products/ScreenShot2022-08-30at1.28.03PM_eec9dff4-27f2-46b2-b301-d83265bb6a50.png?v=1662766434,,Blue,Porcelain,571,479.64,1,dinnerware,3,soup_plates,10,Vista Alegre,1,,,,23,cm,Portugal,Microwave and dishwasher safe,,
545,LS,LS545,,1,1,gl_dining,Blue Chintz Broth Cup & Saucer,Title,Default Title,https://cdn.shopify.com/s/files/1/0508/0861/9187/products/ScreenShot2022-09-09at6.21.15PM.png?v=1662765734,,Blue,Porcelain,1297,1089.48,1,dinnerware,37,broth_cup,10,Vista Alegre,1,,,,16 x 5.4 ,cm,Portugal,Microwave and dishwasher safe,,
546,LS,LS546,,1,1,gl_dining,Margao Broth Cup & Saucer,Title,Default Title,https://cdn.shopify.com/s/files/1/0508/0861/9187/products/ScreenShot2022-09-09at6.17.46PM.png?v=1662765585,,Blue,Porcelain,1929,1620.36,1,dinnerware,37,broth_cup,10,Vista Alegre,1,,,,17 x 5.2 ,cm,Portugal,Microwave and dishwasher safe,,
547,LS,LS547,,1,1,gl_dining,Castelo Branco Broth Cup & Saucer,Title,Default Title,https://cdn.shopify.com/s/files/1/0508/0861/9187/products/ScreenShot2022-09-20at6.06.21PM.png?v=1663715199,,Blue,Porcelain,1693,1422.12,1,dinnerware,37,broth_cup,10,Vista Alegre,1,,,,17 x 5.2 ,cm,Portugal,Microwave and dishwasher safe,,
548,LS,LS548,,1,1,gl_dining,Castelo Branco Soup Plate,Title,Default Title,https://cdn.shopify.com/s/files/1/0508/0861/9187/products/ScreenShot2022-09-09at6.08.34PM.png?v=1662765033,,Yellow,Porcelain,901,756.84,1,dinnerware,3,soup_plates,10,Vista Alegre,1,,,,23,cm,Portugal,Microwave and dishwasher safe,,
549,LS,LS549,,1,1,gl_dining,Nymphea Soup Plate,Title,Default Title,https://cdn.shopify.com/s/files/1/0508/0861/9187/products/ScreenShot2022-08-30at12.51.37PM.png?v=1662764516,,White,Porcelain,757,635.88,1,dinnerware,3,soup_plates,9,Royal Limoges,1,,,,22,cm,France,Microwave and dishwasher safe,,
550,LS,LS550,,1,1,gl_dining,202 Rosa Broth Cup & Saucer- Set of 2,Title,Default Title,https://cdn.shopify.com/s/files/1/0508/0861/9187/products/00107227619306____2__1200x1200_939bd3fa-29b7-491b-bad2-9b3df5f04414.jpg?v=1663118145,,Red,Ceramic,1910,1604.4,1,dinnerware,37,broth_cup,2,La Cartuja de Sevilla,2,,,,15.7 x 7 ,cm,Spain,Microwave and dishwasher safe (moderate use),,
551,LS,LS551,,1,1,gl_dining,Margao Soup Plate,Title,Default Title,https://cdn.shopify.com/s/files/1/0508/0861/9187/products/ScreenShot2022-09-13at8.44.59PM.png?v=1663119929,,Blue,Porcelain,1121,941.64,1,dinnerware,3,soup_plates,10,Vista Alegre,1,,,,23,cm,Portugal,Microwave and dishwasher safe,,
552,LS,LS552,,1,1,gl_dining,202 Rosa Soup Plate - Set of 4,Title,Default Title,https://cdn.shopify.com/s/files/1/0508/0861/9187/products/ScreenShot2022-09-13at8.02.12PM.png?v=1663117389,,Red,Ceramic,2312,1942.08,1,dinnerware,3,soup_plates,2,La Cartuja de Sevilla,4,,,,25.8,cm,Spain,Microwave and dishwasher safe (moderate use),,
553,LS,LS553,,1,1,gl_dining,Herbariae Soup Plate,Title,Default Title,https://cdn.shopify.com/s/files/1/0508/0861/9187/products/ScreenShot2022-09-20at5.21.02PM.png?v=1663712486,,Black & White,Porcelain,1352,1135.68,1,dinnerware,3,soup_plates,10,Vista Alegre,1,,,,28,cm,Portugal,Microwave and dishwasher safe,,
